目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
,简答题,"已知逻辑结构linear=(D,R) 其中：D={1,2,3,4,5} R={&lt;1,2&gt;,&lt;2,3&gt;,&lt;3,4&gt;,&lt;4,5&gt;}， 画出其逻辑结构并判断类别。
",,,A,,易,,,1,"
线性结构",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"已知一个逻辑结构 t=(D,R) 其中：
  D={a,b,c,e,f,g,h}  
  R={&lt;a,b&gt;,&lt;a,c&gt;,&lt;b,e&gt;,&lt;b,f&gt;,&lt;b,g&gt;,&lt;c,h&gt;}
  画出其逻辑结构并判断类别。
",,,A,,易,,,1,"树型结构
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,两种存储结构的基本原理是什么？,,,A,,易,,,1,"顺序存储结构是借助数据元素在存储器中的相对位置来表示数据之间的逻辑关系，由此得到的存储结构称为顺序存储结构。顺序存储结构是一种最基本的存储方式，顺序存储结构要求所有的元素依次存放在一片连续的存储空间中，通常借助于程序设计语言中的数组实现。
链式存储结构，无需占用一整块存储空间，它是借助指示元素存储地址的指针来表示数据元素之间的逻辑关系，因此除了存储数据所必需的空间外，需要附设空间开辟一个指针字段，用于存放后继元素的存储地址，由此得到的存储结构称为链式存储结构。在链式存储结构中，即使逻辑相邻的元素也不要求其物理位置相邻，显然，链式存储结构通常借助于程序设计语言中的指针类型实现。
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"分析下面各程序段的时间复杂度及每行语句的频度
for (i=0；i&lt;n； i++)
     for (j=0； j&lt;m； j++)
        A[i][j]=0；
",,,A,"语句1：n+1
语句2：n*(m+1)
语句3：n*m
时间复杂度：O(nm)",易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"分析下面各程序段的时间复杂度及每行语句的频度
k=1；h=0；
  for(i=1； i&lt;=n； i++)
  {
      k++；
      for (j=1； j&lt;=n； j++)
         h+=k；
   }
",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"分析下面各程序段的时间复杂度及每行语句的频度
k=1；h=0；
  for(i=1； i&lt;=n； i++)
  {
      k++；
      for (j=1； j&lt;=n； j++)
         h+=k；
   }",,,A,"语句1：1 
语句2：n+1` 
语句3：n
语句4：n*(n+1)
语句5：n*n
时间复杂度：O(n*n)",易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,数据元素是数据的基本单位。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,数据项可由若干个数据元素构成。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,下面程序段的时间复杂度为()。for(int i=0; i&lt;m; i++)for(int j=0; j&lt;n; j++)a[i][j]=i*j;,,,C,,易,,,4,O(),O(),O(m*n),O(m+n),,,,,,,,,,,,,,,,,,,,,,
,简答题,说明线性表的逻辑结构特点。,,,A,,中,,,1,"线性表是一个有限序列，对于线性表(a1，a2，…an)：
（1）存在唯一的第一个元素和最后一个元素;
（2）除第一个元素外，其他元素有且仅有一个直接前驱;
（3）除最后一个元素外，其他元素有且仅有一个直接后继。
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,说明线性表的逻辑结构特点。,,,A,,易,,,1,"线性表是一个有限序列，对于线性表(a1，a2，…an)
（1）存在唯一的第一个元素和最后一个元素;
（2）除第一个元素外，其他元素有且仅有一个直接前驱;
（3）除最后一个元素外，其他元素有且仅有一个直接后继。
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,说明顺序存储结构的优缺点。,,,A,,中,,,1,"优点
（1）逻辑相邻，物理相邻
（2）可随机存取任一元素
（3）存储空间使用紧凑
缺点
（1）插入、删除操作需要移动大量的元素
（2）预先分配空间需按最大空间分配，利用不充分
（3）追加空间操作时，还要将原有数据复制到新空间，影响时间效率
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,说明顺序存储结构的优缺点。,,,A,,中,,,1,"优点

（1）逻辑相邻，物理相邻

（2）可随机存取任一元素

（3）存储空间使用紧凑

缺点

（1）插入、删除操作需要移动大量的元素

（2）预先分配空间需按最大空间分配，利用不充分

（3）追加空间操作时，还要将原有数据复制到新空间，影响时间效率
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"算法设计
1、在带头结点的循环链表中删除第i个元素。
2、在带头结点的单链表中删除最小值结点。
",,,A,,易,,,1,"1、
Status  Del_LinkList(LinkList  &amp;head, int i, ELemType &amp;e){  
    p = head;                              // head为循环链表的头指针
    j = 0 ;                                             //  j为计数器 
    while ( p-&gt;next!=head &amp;&amp; j&lt;i-1 )   {                // 寻找第i-1个结点，同时判断第i个节点是否存在
        p = p-&gt;next ;
        ++ j ;
    }
    if (p-&gt;next==head)  return ERROR;  //第i个结点不存在 
    s=p-&gt;next; //s指向第i个结点 
    p-&gt;next=s-&gt;next; //从链表中删除 
    e=s-&gt;data; //参数存储被删除的值
    free(s);    //释放*s  
    return OK;
}
2、
Status DelMin_LinkList (linklist &amp;L, ElemType &amp;e){
   if(!L-&gt;next) return ERROR; //链表空，无法操作
    p=L-&gt;next; pre=L; min=p; 
     //min存储当前找到的最小值节点地址，初始为首元节点
    //pre为min的前一节点指针方便删除，初始为头结点
    //p为当前比较结点的前一结点，初始为首元节点，其后即为比较开始的结点，即链表的第二个结点
    while (p-next!=NULL)  {
        //尚存在可以比较数据的结点
         if (p-&gt;next-&gt;data&lt;min-&gt;data) { //若比较结点p-&gt;next的数据元素值小于之前找到的最小值
             pre=p; min=p-&gt;next; //将min移至p-&gt;next，将pre移至p-&gt;next的前一结点，即p
        }
        p=p-&gt;next; //否则顺着链表继续向后比较
    }
    pre-&gt;next=min-&gt;next; //循环结束确定最小值所在结点，将最小值节点从链表中拆除
    e=min-&gt;data; // 参数存储被删除的数据元素值
    free (min);  //释放空间
    return OK;
}
",,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,"线性表(a1,a2,…,an)以顺序方式存储时，访问第i位置元素的时间复杂度为（  ）。",,,D,,易,,,4,O(1) ,O(i-1),O(i),O(n),,,,,,,,,,,,,,,,,,,,,,
,填空题,说出上题的后序遍历结果,,,,,易,,,1,CGEFDBA,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,简述栈与线性表的异同之处。,,,A,,中,,,1,栈与线性表的相同之处在于，二者逻辑关系相同，且都可以采用顺序存储或链式存储；不同之处在于，栈是特殊的线性表，即操作受限的线性表，只能在栈顶即表尾进行插入删除操作，不同于普通线性表，可以在任意位置进行插入。,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,简述链式存储的队列增加头结点的原因。,,,A,,难,,,1,链队列增加头结点后，队头front指针指向头结点，这样每次进行出队操作时，无需修改队头front指针，方便了删除操作的进行。,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,将下面的二叉树转换为树 ,,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,将下面二叉树转换为树后，写出先序、后序的遍历结果。,,,A,,易,,,1,先序遍历ABEFIGCDHJKLNOM后序遍历 EIFGBCJKNOLMHDA,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,"一个栈的输入序列为（a,b,c,d），（c,d,b,a）不可能是这个栈的输出序列。",,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,判定一个顺序栈S为空的条件是（    ）。,,,B,,易,,,4,!S.top ,S.base==S.top,!S.base ,S.base!=S.top,,,,,,,,,,,,,,,,,,,,,,
,单选题,在n个结点的顺序表中，算法的时间复杂度是O(1)的操作是（  ）。,,,A,,易,,,4,访问第i个结点(1≤i≤n)和求第i个结点的直接前驱(2≤i≤n) ,在第i个结点后插入一个新结点(1≤i≤n),删除第i个结点(1≤i≤n),查找值最大的结点,,,,,,,,,,,,,,,,,,,,,,
,判断题,循环链表的主要优点是不再需要头指针。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,循环链表的主要优点是从表中任一结点出发都能遍历整个链表。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,"一个栈的输入序列为（a,b,c,d），（c,d,b,a）不可能是这个栈的输出序列。",,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,循环链表的主要优点是不再需要头指针。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,循环链表的主要优点是从表中任一结点出发都能遍历整个链表。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,在n个结点的顺序表中，算法的时间复杂度是O(1)的操作是（  ）。,,,A,,易,,,4,访问第i个结点(1≤i≤n)和求第i个结点的直接前驱(2≤i≤n) ,在第i个结点后插入一个新结点(1≤i≤n),删除第i个结点(1≤i≤n),查找值最大的结点,,,,,,,,,,,,,,,,,,,,,,
,单选题,判定一个顺序栈S为空的条件是（    ）。,,,B,,易,,,4,!S.top ,S.base==S.top,!S.base,S.base!=S.top,,,,,,,,,,,,,,,,,,,,,,
,填空题,写出下面二叉树的先序、中序、后序的遍历序列,,,,,易,,,3,ABDGCEF,DGBAECF,GDBEFCA,,,,,,,,,,,,,,,,,,,,,,,
,填空题,"已知一算术表达式的中缀形式为 A+3*C-D/5, 则其后缀形式为( )。",,,,,易,,,1,A3C*+D5/-,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,若 X 是二叉中序线索树中一个有右孩子的结点，且 X 不为根，则 X 的后继为 X 的左子树中最右的结点。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,若采用链表表示栈，为了方便入栈和出栈操作中对链表结点的插入和删除，栈顶位置应位于链表的（    ）。,,,B,,易,,,4,任意位置,表头,表尾,中间,,,,,,,,,,,,,,,,,,,,,,
,单选题,队列的操作特点是（   ）。,,,A,,易,,,4,先进先出,后进先出,一端操作,无法进出,,,,,,,,,,,,,,,,,,,,,,
,单选题,栈和队列的共同点是（   ）。,,,C,,易,,,4,都是先进后出   ,都是先进先出,只允许在端点处插入和删除元素,都是随意进出,,,,,,,,,,,,,,,,,,,,,,
,判断题,"一个队列的入队序列是(a,b,c,d)，则队列的出队序列也是(a,b,c,d)。",,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,设二维数组a[0..9，0..19]采用顺序存储方式，每个数组元素占用一个存储单元，a[0][0]的存储地址为200（或100），a[6][2]的存储地址是322（或322），问该数组采用的是按行优先存放还是按列优先存放?,,,A,,易,,,1,"假设按行优先存放,有LOC(ai,j)= LOC(a0,0)+(i*n+j)*k,对于a[6][2]元素,其地址LOC(a[6][2])= LOC(a[0][0])+[6X20+2]X1=322（或222）。
假设按列优先存放,有LOC(ai,j)=LOC(a0,0)+(j*m+i)*k,对于a[6][2]元素,其地址LOC(a[6][2])= LOC(a[0][o]) +[2X10+6]X1=226（或126）。
所以该数组采用的是按行优先存放方式。
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,2. 设二维数组a[0..9，0..19]采用顺序存储方式，每个数组元素占用一个存储单元，a[0][0]的存储地址为100（或200），a[6][2]的存储地址是222（或322），说明该数组采用的是按行优先存放还是按列优先存放，并给出判断依据?,,,A,,易,,,1,"假设按行优先存放,有LOC(ai,j)= LOC(a0,0)+(i*n+j)*k,对于a[6][2]元素,其地址LOC(a[6][2])= LOC(a[0][0])+[6X20+2]X1=222（或322）。
假设按列优先存放,有LOC(ai,j)=LOC(a0,0)+(j*m+i)*k,对于a[6][2]元素,其地址LOC(a[6][2])= LOC(a[0][o]) +[2X10+6]X1=126（或226）。
所以该数组采用的是按行优先存放方式。
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,简述数组更适合顺序存储，极少用链式存储的原因。,,,A,,易,,,1,组一旦被定义，最常进行的操作时通过给定的“一组下标”索引取得元素或修改元素的值，因此在选择存储结构时应保持随机存取的特性。如果使用链式结构对数组进行存储，不仅指针需要额外占用更多的存储空间，而且不再具有随机存取特性，使得相关操作更复杂删除操作。,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,数据元素是数据的基本单位。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,﻿数据项可由若干个数据元素构成。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,串是一种特殊的线性表，其特殊性体现在（  ）。,,,D,,易,,,4,可以顺序存储   ,数据元素可以是结构类型,可以链式存储 ,数据元素是一个字符,,,,,,,,,,,,,,,,,,,,,,
,判断题,串的长度是指串中不同字母的个数。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,以下关于串的叙述中正确的是（  ）。,,,C,,易,,,4,空串就是空白串,串中元素只能是字母,串是一种特殊的线性表,串的长度必须大于零,,,,,,,,,,,,,,,,,,,,,,
,判断题,两个字符串相等的条件是长度相等且对应的字符相同。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,设计邻接表的定位算法，若存在返回位置，不存在返回-1,,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"设计算法，在邻接表存储的有向图中增加一条边,若顶点不存在则返回错误，为简化不考虑边已存在的情况",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"设计算法，在邻接表存储的有向图中删除边（v1,v2)Status DeleteArc(ALGraph *G,VertexData v1,VertexData v2)",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,若已知一棵二叉树先序序列为abdfcegh，中序序列为bfdagehc，画出该二叉树，说明它的后序遍历序列。,,,A,,易,,,1, 后序遍历序列为：fdbgheca,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,若已知一棵二叉树先序序列为abdfcegh，中序序列为bfdagehc，画出该二叉树的后序线索二叉树。,,,A,,难,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"1.
按照教学进程安排，本学期第一次上机实验时间为10周周六（11.01）下午，5-8节，地点机房五楼
第一次题目：链表和栈基本操作实现
主要内容：设计并实现链表的插入、删除、查找、求长度等基本操作；设计栈的初始化、入栈、出栈等操作实现
主要要求：可以事先完成，或者上机课上完成，上机实验课上检查并答辩，同时，第12周完成实验报告并上交打印版，同时上传电子版，电子版含报告和所有源程序 ，报告模板见附件。


 


",,,A,,中,单链表的相关概念;单链表结构的实现;单链表的查找;单链表的插入;单链表的删除;头插法建立链表;尾插法建立链表;基于单链表的有序表的合并;单链表和顺序表比较;循环链表;双向链表;静态链表;一元多项式的表示;一元多项式相加的过程;一元多项式相加算法;约瑟夫环问题;栈的定义和特点;栈的抽象数据类型定义;顺序栈的表示和初始化;顺序栈的入栈操作;顺序栈的出栈与取栈顶元素;链栈的类型定义;链栈入栈和出栈算法;案例导学-数制转换问题,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,一棵完全二叉树上有1001个结点，其中叶子结点的个数是（  ）。,,,D,,易,,,4,250	, 254,500,501,,,,,,,,,,,,,,,,,,,,,,
,判断题,具有35个结点的完全二叉树深度为6。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,具有17个结点的完全二叉树深度为5。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题, 在广义表((a，b)，c，((d)，e)，(f，j，(g)，(h)))中，第4个元素的第3个元素是（  ）。,,,B,,易,,,4,原子g ,子表(g),原子e,子表((d)，e),,,,,,,,,,,,,,,,,,,,,,
,判断题,空的广义表是指广义表不含任何元素。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,空的广义表是指广义表不含任何原子。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,用双亲存储结构表示树，其优点之一是比较方便（  ）。,,,A,,易,,,4,找指定结点的双亲结点,找指定结点的孩子结点,找指定结点的兄弟结点,判断某结点是不是叶子结点,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G，画出该图的邻接表存储结构。
",,,A,,难,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G。
(1)画出该图的邻接表存储结构。
(2)根据该图的邻接表存储结构，从顶点0出发，调用DFS和BFS算法遍历该图，给出相应的遍历序列。

",,,A,,难,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G，给出采用 Kruskal算法构造最小生成树的过程。
",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,哈夫曼树是带权路径长度最大的二叉树。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,哈夫曼树一定是一棵满二叉树。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,无向图的邻接矩阵是一个（  ）。,,,A,,易,,,4,对称矩阵,零矩阵,上三角矩阵,对角矩阵,,,,,,,,,,,,,,,,,,,,,,
,判断题,在一个无向图中，所有顶点的度之和等于边数的2倍。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,具有6个顶点的无向图至少应有6条边才可能是一个连通图。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,画出具有12个节点的折半查找判定树，并计算ASL,,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,如果从无向图的任一顶点出发进行一次深度优先遍历即可访问所有顶点，则该图一定是（  ）。,,,C,,易,,,4,完全图,有回路,连通图,一棵树,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G。
(1)画出该图的邻接表存储结构。
(2)根据该图的邻接表存储结构，从顶点0出发，调用DFS和BFS算法遍历该图，给出相应的遍历序列。
",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,说明求解图的最小生成树以及最短路径问题适合采用的存储结构，并简要说明理由。,,,A,,中,,,1,图采用邻接矩阵存储时，容易判定图中任意两个顶点之间是否有边相连，同时特别方便提取一条边的权值，而在求图的最小生成树和最短路径时，即需要判断顶点间是否有边相连，又需要提取边的权值，因此适合采用邻接矩阵作为存储结构。,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,链式存储的线性表只能采用顺序查找方法。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,顺序存储且关键字有序的线性表可以使用折半查找方法。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G，画出该图的邻接表存储结构，并根据该存储结构，从顶点0出发，调用DFS算法和BFS遍历该图，写出相应的遍历序列。
",,,A,,易,,,1,"
从顶点0出发，DFS遍历序列为0,2,5,4,3,1。BFS遍历序列为0,2,1,5,4,3。

",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"第二次上机实验在十四周周六下午机房五楼DEF区，题目围绕二叉树和图的遍历进行。
可以事先完成，或者上机课上完成，上机实验课上检查并答辩，同时，第15周周五前完成实验报告并上交打印版，同时上传电子版，电子版含报告和所有源程序 ，具体要求见报告模板。

 


",,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,对二叉排序树进行（  ）遍历，可得到从关键字从小到大的有序序。,,,B,,易,,,4,先序,中序 ,后序,层次,,,,,,,,,,,,,,,,,,,,,,
,单选题,以下（  ）属于动态查找表。,,,C,,易,,,4,有序表,分块有序表,二叉排序树 ,线性链表,,,,,,,,,,,,,,,,,,,,,,
,简答题,设哈希表长度为11，哈希函数H(key)=key%11，给定的关键字序列为(1，15，11，36，39，16，27，23)。试画出分别采用采用线性探测再散列和链地址法来解决冲突构造的哈希表，并求出在等概率情况下查找成功时的ASL。,,,A,,易,,,1,"（1）采用线性探测再散列法处理冲突构造哈希表的计算过程和构造结果如下所示。
H(1)=1MOD11=1  H(15)=15MOD11=4  H(11)=11MOD11=0
H(36)=36MOD11=3  H(39)=39MOD11=6  H(16)=16MOD11=5 
H(27)=27MOD11=5 冲突 H1(27)=(H(27)+1)MOD11=6 冲突 
H2(27)=(H(27)+2)MOD11=7
H(23)=23MOD11=1 冲突 H1(23)=(H(23)+1)MOD11=2
 
等概率查找成功时的ASL=(1*6+2*1+3*1)/8=11/8           
（2）采用链地址处理冲突构造哈希表的计算过程和构造结果如下所示。
H(1)=1MOD11=1   H(15)=15MOD11=4  H(11)=11MOD11=0
H(36)=36MOD11=3  H(39)=39MOD11=6  H(16)=16MOD11=5 
H(27)=27MOD11=5  H(23)=23MOD11=1 

等概率查找成功时的",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"以关键字序列（239  328  765  139  928  874  785  641  052  446）为例，写出执行希尔排序（d={5,3,1}）算法各趟结束关键字状态。",,,A,,易,,,1,"初始  239  328  765  139  928  874  785  641  052  446
d=5  239  328  641  052  446  874  785  765  139  928
d=3  052  328  139  239  446  641  785  765  874  928
d=1  052  139  239  328  446  641  765  785  874  928",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"以关键字序列（239  328  765  139  928  874  785  641  052  446）为例，写出执行希尔排序（d={5,3,1}）算法各趟结束关键字状态。",,,A,,易,,,1,"初始序列：239，328，765，139，928，874，785，641，052，446
第一趟排序（d=5）：239，328，641，052，446，874，785，765，139，928
第二趟排序（d=3）：052，328，139，239，446，641，785，765，874，928
第三趟排序（d=1）：052，139，239，328，446，641，765，785，874，928
",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"以关键字序列（239  328  765  139  928  874  785  641  052  446）为例，写出执行快速排序算法各趟结束关键字状态。
",,,A,,易,,,1,"052  139  239  765  928  874  785  641  328  446  
052  139  239  446  328  641  765  785  874  928
052  139  239  328  446  641  765  785  874  928
052  139  239  328  446  641  765  785  874  928",,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"给定如图所示的带权无向图G，画出该图的邻接表存储结构，并根据该存储结构，从顶点0出发，调用DFS算法遍历该图，写出相应的遍历序列。
",,,A,,难,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,"设哈希表长度为11，哈希函数H(key)=key%11，给定的关键字序列为(1，15，11，36，39，16，27，23)。画出采用线性探测再散列来解决冲突构造的哈希表，并求出在等概率情况下查找成功时的ASL。
",,,A,,难,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,简述数组极少使用链式结构进行存储的原因。,,,A,,中,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,下述排序方法中需要辅助空间容量最大的是（  ）。,,,D,,易,,,4,直接插入排序 ,简单选择排序,快速排序,2-路归并排序,,,,,,,,,,,,,,,,,,,,,,
,判断题,堆是一棵满二叉树。,,,B,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,待排序记录已按关键字基本有序，以下排序方法中效率最高是（  ）。,,,A,,易,,,4,直接插入排序,简单选择排序,快速排序,归并排序,,,,,,,,,,,,,,,,,,,,,,
,判断题,堆排序属于选择类排序。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,如果从无向图的任一顶点出发进行一次深度优先遍历即可访问所有顶点，则该图一定是（  ）,,,C,,易,,,4, 完全图,有回路, 连通图, 一棵树,,,,,,,,,,,,,,,,,,,,,,
,判断题,在一个无向图中，所有顶点的度之和等于边数的2倍。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,无向图的邻接矩阵是一个（  ）。,,,A,,易,,,4,对称矩阵,零矩阵,上三角矩阵,对角矩阵,,,,,,,,,,,,,,,,,,,,,,
,简答题,上传两个文档：课程设计报告和源程序,,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,填空题,数据结构包括数据的____、数据的____和数据的____三个方面的内容。,,,,,易,数据结构、逻辑结构和存储结构,,3,逻辑结构,存储结构,运算,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,线性结构的链式存储表示中，数据元素的逻辑顺序与物理顺序一定相同。,,,B,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,数据结构是带结构的数据元素的集合。,,,A,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
